52X,TUEN MUN CENTRAL
53,TSUEN WAN (NINA TOWER)
53,YOHO MALL (YUEN LONG)
54,SHEUNG TSUEN (CIRCULAR)
56S,TSANG TSUI
56S,TUEN MUN STATION
57M,LAI KING (NORTH)
57M,TUEN MUN (SHAN KING ESTATE)
58M,KWAI FONG STATION
58M,KWAI FONG STATION
58M,KWAI FONG STATION
58M,TUEN MUN (LEUNG KING ESTATE)
58P,TIN KING ESTATE (TIN YUE HOUSE)
58X,MONG KOK EAST STATION
58X,MONG KOK EAST STATION
58X,TUEN MUN (LEUNG KING ESTATE)
59A,KWAI FONG (KWAI TSUI ESTATE)
59A,TUEN MUN PIER HEAD
59M,TSUEN WAN STATION
59M,TSUEN WAN STATION
59M,TSUEN WAN STATION
59M,TUEN MUN PIER HEAD
59R,TUEN MUN PIER HEAD
59X,MONG KOK EAST STATION
59X,MONG KOK EAST STATION
59X,MONG KOK EAST STATION
59X,TUEN MUN PIER HEAD
60M,TSUEN WAN STATION
60M,TUEN MUN STATION
60X,JORDAN (WEST KOWLOON STATION)
60X,TUEN MUN CENTRAL
61A,TUEN MUN RD. INTERCHANGE (URBAN BOUND)
61M,LAI KING (NORTH)
61M,TUEN MUN (YAU OI SOUTH)
61M,TUEN MUN (YAU OI SOUTH)
61S,WO HOP SHEK (KIU TAU ROAD)
61S,TUEN MUN CENTRAL
61X,KOWLOON CITY FERRY
61X,TUEN MUN CENTRAL
62P,LEI YUE MUN ESTATE
62X,LEI YUE MUN ESTATE
62X,SIU HONG STATION (SOUTH)
63R,LAM TSUEN WISHING TREE
63R,LAM TSUEN WISHING TREE
63R,TAI PO MARKET STATION
63X,JORDAN (WEST KOWLOON STATION)
63X,HUNG SHUI KIU (HUNG FUK ESTATE)
64K,TAI PO MARKET STATION
64K,TAI PO (TAI WO)
64K,YUEN LONG (WEST)
64P,KADOORIE FARM
64S,KAM SHEUNG ROAD STATION
64X,HONG KONG SCIENCE PARK
65K,TAI PO CENTRAL
65R,TIN SHUI
65X,HONG KONG SCIENCE PARK
66M,TSUEN WAN STATION
66M,TUEN MUN (TAI HING ESTATE)
66X,OLYMPIC STATION
66X,TUEN MUN (TAI HING ESTATE)
67M,KWAI FONG STATION
67M,TUEN MUN (SIU HONG COURT)
67R,HUNG SHUI KIU (HUNG FUK ESTATE)
67X,MONG KOK EAST STATION
67X,TUEN MUN (SIU HONG COURT)
68,YOHO MALL (CIRCULAR)
68A,TSING YI STATION
68A,LONG PING ESTATE
68E,TSING YI STATION
68E,YUEN LONG PARK
68F,YUEN LONG PARK (CIRCULAR)
68M,YUEN LONG (WEST)
68M,TSUEN WAN STATION
68R,TAI TONG
68R,YOHO MALL (YUEN LONG)
68X,MONG KOK (PARK AVENUE)
68X,MONG KOK (PARK AVENUE)
68X,HUNG SHUI KIU (HUNG FUK ESTATE)
69C,KWUN TONG FERRY
69C,KWUN TONG FERRY
69C,TIN YAN ESTATE
69M,TIN SHUI WAI TOWN CENTRE
69M,KWAI FONG STATION
69P,KWAI FONG STATION
69X,JORDAN (WEST KOWLOON STATION)
69X,JORDAN (WEST KOWLOON STATION)
69X,TIN SHUI
70K,CHING HO (CIRCULAR)
70R,FANLING (LUEN WO HUI)
70S,WO HOP SHEK
70S,HUNG HOM STATION
71A,TAI PO MARKET STATION
71A,TAI PO (FU HENG)
71B,TAI PO CENTRAL (CIRCULAR)
71K,TAI PO MARKET STATION
71K,TAI PO (TAI WO)
71S,KWONG FUK (CIRCULAR)
72,CHEUNG SHA WAN
72,TAI PO (TAI WO)
72A,TAI PO INDUSTRIAL ESTATE
72A,TAI WAI STATION
72C,TAI PO MARKET STATION
72X,MONG KOK (PARK AVENUE)
72X,TAI PO CENTRAL
73,TAI PO INDUSTRIAL ESTATE
73,TAI PO CENTRAL
73,FANLING (WAH MING)
73,FANLING (WAH MING)
73A,YU CHUI COURT
73A,FANLING (WAH MING)
73B,SHEUNG SHUI (CIRCULAR)
73D,TAI PO (FU SHIN)
73D,TSUEN WAN (NINA TOWER)
73K,MAN KAM TO
73K,SHEUNG SHUI
73P,TAI MEI TUK
73P,TSUEN WAN (NINA TOWER)
73X,TAI PO (FU SHIN)
73X,TAI PO (FU SHIN)
73X,TSUEN WAN (NINA TOWER)
74A,KAI YIP
74A,TAI PO (TAI WO)
74B,TAI PO CENTRAL
74B,KWUN TONG FERRY
74C,KWUN TONG FERRY
74C,KWUN TONG FERRY
74D,KWUN TONG FERRY
74D,KAU LUNG HANG
74E,KWUN TONG FERRY
74E,TAI MEI TUK
74F,EDUCATION UNIVERSITY OF HONG KONG
74K,SAM MUN TSAI (CIRCULAR)
74K,SAM MUN TSAI (CIRCULAR)
74P,TAI PO CENTRAL
74P,KWUN TONG FERRY
74P,KWUN TONG FERRY
74S,WO HOP SHEK
74S,PING TIN
74X,KWUN TONG FERRY
74X,KWUN TONG FERRY
74X,KWUN TONG FERRY
74X,TAI PO CENTRAL
75K,TAI PO MARKET STATION
75K,TAI MEI TUK
75P,TAI PO MARKET STATION
75P,TAI PO MARKET STATION
75X,KOWLOON CITY FERRY
75X,KOWLOON CITY FERRY
75X,TAI PO (FU SHIN)
75X,TAI PO (FU SHIN)
75X,TAI PO (FU SHIN)
76K,LONG PING ESTATE
76K,LONG PING ESTATE
76K,SHEUNG SHUI (CHING HO)
76S,WO HOP SHEK
76S,FANLING STATION
77K,YUEN LONG (FUNG CHEUNG ROAD)
77K,YUEN LONG (WEST)
77K,KAM SHEUNG ROAD STATION
77K,SHEUNG SHUI
78,FANLING STATION (FUK YING SEEN KOON)
78A,FANLING STATION (CIRCULAR)
78K,SHA TAU KOK
78K,SHA TAU KOK
78K,SHEUNG SHUI (TAI PING)
78K,SHEUNG SHUI
78K,FANLING (WAH MING)
79K,TA KWU LING (TSUNG YUEN HA)
79K,SHEUNG SHUI
80,KWUN TONG FERRY
80,KWUN TONG FERRY
80,MEI LAM
80A,KWUN TONG FERRY
80K,YU CHUI COURT
80K,SUN CHUI
80M,KOWLOON TONG STATION
80M,SUI WO COURT
80P,KWUN TONG FERRY
80X,KWUN TONG FERRY
80X,KWUN TONG FERRY
80X,CHUN SHEK
81,JORDAN (WEST KOWLOON STATION)
81,WO CHE
81C,TSIM SHA TSUI EAST (MODY ROAD)
81C,YIU ON
81K,SUI WO COURT
81K,SUN TIN WAI
81S,NATHAN ROAD (PUBLIC SQUARE STREET)
82B,TAI WAI STATION
82C,HONG KONG SCIENCE PARK
82C,KWONG YUEN
82D,TAI WAI STATION
82D,PAK SHEK KOK
82K,WONG NAI TAU
82K,MEI LAM
82P,DIAMOND HILL STATION
82P,SHEK MUN ESTATE
82X,WONG TAI SIN (CIRCULAR)
83A,KWUN TONG FERRY
83K,SHA TIN CENTRAL (CIRCULAR)
83P,WO CHE
83S,SHATIN CENTRAL
83S,WONG NAI TAU
83X,KWUN TONG FERRY
83X,KWUN TONG FERRY
83X,SHUI CHUEN O
83X,WONG NAI TAU
84M,LOK FU
84M,CHEVALIER GARDEN
